date | value
2009-01-01 | 1.1
2025-01-31 | 1.1
2025-01-31 | 1.1 
2025-02-31 | 1.1
2025-03-31 | 1.1
2025-04-31 | 1.1
2025-05-31 | 1.1
2025-06-31 | 1.1
2025-07-31 | 1.1
2025-08-31 | 1.1
2025-09-31 | 1.1
2025-10-31 | 1.1
2025-11-31 | 1.1
2025-12-31 | 1.1
2024-02-0 | 1.1
2024-02--2 | 1.1
2024-03-32 | 1.1
2024-0-01 | 1.1
2024--1-01 | 1.1
2024-13-01 | 1.1
-1-12-01 | 1.1
2011-02-28 | 1.1
2011-02-29 | 1.1
2024-02-29 | 1.1
2024-02-30 | 1.1
42949672954-01-01 | 1.1
2025-04-01 | -1
2025-04-01 | 0
2025-04-01 | 1000
2025-04-01 | 1001
2025-04-01 |
2025-04-01 | 1.1 abc
